0,xxxSNAMEyyy communication was sent in the month of May 2017 . -Manoj n/n,xxxSNAMEyyy communication was sent in the month of May 2017 . - Manoj,1,1
10017,xxxSNAMEyyy think they slick ... I called them at 9 and my wait time is 50+ mins ... Enough time for them to close which is at 10,xxxSNAMEyyy think they slick ... I called them at 2100 hours and my wait time is greater than 50 mins . Enough time for them to close which is at 2200 hours.,1,1
10018,"xxxSNAMEyyy Dear Amit K. Singh , please accept our sincere apologies . We request you to visit xxxURLyyy ( 1/3","xxxSNAMEyyy Dear Amit K. Singh , please accept our sincere apologies . We request you to visit xxxURLyyy ",1,1
10019,"xxxSNAMEyyy Hey there , sorry to hear about the current situation . : ( If possible , please send us a DM , so that we xxxURLyyy","xxxSNAMEyyy Hey there , sorry to hear about the current situation . (negative_expression) . If possible , please send us a Direct Message , so that we xxxURLyyy",1,1
10020,xxxSNAMEyyy xxxURLyyy under General Banking// Charges Related category . We will assist you . ( 3/3,xxxSNAMEyyy xxxURLyyy under General Banking or Charges Related category . We will assist you.,1,1
10021,"xxxSNAMEyyy In order to assist you in a more effective way , we request you to elaborate your concern .","xxxSNAMEyyy In order to assist you in a more effective way , we request you to elaborate your concern .",1,1
10022,xxxSNAMEyyy xxxSNAMEyyy As a share holder I FEEL extremely bad when HDFC bank is n't able to resolve this in time and fair manner..,xxxSNAMEyyy xxxSNAMEyyy As a share holder I FEEL extremely bad when HDFC bank is not able to resolve this in time and fair manner.,0,1
10023,"xxxSNAMEyyy Hi , we have made a note of your feedback and shared it with the concerned team .","xxxSNAMEyyy Hi , we have made a note of your feedback and shared it with the concerned team .",1,1
10024,xxxSNAMEyyy mail so it 'll help us track your e-mail . -Bejoy n/n,xxxSNAMEyyy mail so it will help us track your e-mail  -Bejoy ,1,1
10025,"xxxSNAMEyyy Hi , we 're sorry to hear that . Please share your Account No./Card No . with registered contact info amp ; the issue on ( 1/3","xxxSNAMEyyy Hi , we are sorry to hear that . Please share your Account number or Card Number with registered contact info and the issue on the account.",1,1
10026,"xxxSNAMEyyy Dear Customer , we regret the inconvenience caused to you . We would like to facilitate a speedy ( 1/2","xxxSNAMEyyy Dear Customer , we regret the inconvenience caused to you . We would like to facilitate a speedy recovery .",1,1
10027,xxxSNAMEyyy xxxSNAMEyyy xxxSNAMEyyy Can you please forward it to me ?,xxxSNAMEyyy xxxSNAMEyyy xxxSNAMEyyy Can you please forward it to me ?,1,1
10028,"xxxSNAMEyyy change the handle to ICICI DOES N'T care ! You block my card , keep me in darkness and then say sorry we can not compensate ! SAD","xxxSNAMEyyy change the handle to ICICI DOES NOT care ! You block my card , keep me in darkness and then say sorry we can not compensate ! SAD",0,1
10029,xxxSNAMEyyy xxxSNAMEyyy Not getting Uber 6th ride free offer on my HDFC MasterCard . Been using for a long time . Never got .,xxxSNAMEyyy xxxSNAMEyyy Not getting Uber 6th ride free offer on my HDFC MasterCard . Been using for a long time . Never got .,0,1
10030,"xxxSNAMEyyy Hi , we wish to inform you that the ATM id : -APCN34812 is operational and dispensing cash . Request you to please check ( 1/4","xxxSNAMEyyy Hi , we wish to inform you that the ATM ID : -APCN34812 is operational and dispensing cash . Request you to please check .",1,1
10031,xxxSNAMEyyy Most sloppy bank ever,xxxSNAMEyyy Most sloppy bank ever.,0,1
10032,xxxSNAMEyyy money debated from my account but not creditaded to beneficiary please respond to me,xxxSNAMEyyy money debated from my account but not credited to beneficiary .Please respond to me.,1,1
10033,xxxSNAMEyyy at xxxURLyyy for us to assist you . ( 2/2,xxxSNAMEyyy at xxxURLyyy for us to assist you . ,1,1
10034,xxxHASHTAGyyy xxxHASHTAGyyy xxxHASHTAGyyy xxxHASHTAGyyy xxxSNAMEyyy PLEASE CHANGE IT TO xxxHASHTAGyyy .xxxHASHTAGyyy,,1,1
10035,"xxxSNAMEyyy Hi , were here to help ; let me know what I can do . ^am","xxxSNAMEyyy Hi , we are here to help .let me know what I can do . ",1,1
10036,xxxSNAMEyyy Sir still waiting for ur revart,"xxxSNAMEyyy Sir, still waiting for your response.",0,1
10037,xxxSNAMEyyy Thanks for your prompt response . This was just feedback for any new software update issue .,xxxSNAMEyyy Thanks for your prompt response . This was just feedback for any new software update issue .,1,1
10038,SBI Foundation collaborates with Central Railway amp ; commits a grant of Rs . 10 Cr for project on Conservation and Res xxxURLyyy,"SBI Foundation collaborates with Central Railway and commits a grant of Rupees 100,000,000 for project on Conservation and Restoration xxxURLyyy",2,1
10039,xxxSNAMEyyy difficult to contact paypal regarding the payment issue,xxxSNAMEyyy difficult to contact paypal regarding the payment issue,0,1
10040,"xxxSNAMEyyy Jay , please send us a DM ! ^RA","xxxSNAMEyyy Jay , please send us a Direct Message ! ",1,1
10041,"xxxSNAMEyyy course , all your details will remain confidential . -Anay ( 3/3","xxxSNAMEyyy Of course , all your details will remain confidential . -Anay ",1,1
10042,"xxxSNAMEyyy As advised earlier in case you are not satisfied with the complaint resolution , you may escalate the ( 1/2","xxxSNAMEyyy As advised earlier , in case you are not satisfied with the complaint resolution , you may escalate the intensity.",1,1
10043,xxxSNAMEyyy Banking// Branch Related category . We will look into the matter . ( 2/2,xxxSNAMEyyy Banking or Branch Related category . We will look into the matter . ,1,1
10044,xxxSNAMEyyy I got message that fastag is activated . So when will I get label to stick on windshield ?,xxxSNAMEyyy I got message that fastag is activated . So when will I get label to stick on windshield ?,1,1
10045,"xxxSNAMEyyy Hi Sonu , we request you to Dm your contact number and the complete address of the branch . -Anay","xxxSNAMEyyy Hi Sonu , we request you to Direct Message your contact number and the complete address of the branch . -Anay",1,1
10046,"xxxSNAMEyyy Hi there . If you believe your are receiving messages from scammers , please forward this to spoofxxxSNAMEyyy.c xxxURLyyy","xxxSNAMEyyy Hi there . If you believe you are receiving messages from scammers , please forward this to spoof xxxSNAMEyyy.c xxxURLyyy",1,1
10047,"xxxSNAMEyyy Hi , We try to get back to you with the best solution . Please allow us some time to help you.-Bejoy","xxxSNAMEyyy Hi , We will try to get back to you with the best solution . Please allow us some time to help you.-Bejoy",1,1
10048,"xxxSNAMEyyy through the branch . In case you find your debit card compromised , please have your card blocked by calling our contact ( 4/6","xxxSNAMEyyy through the branch . In case you find your debit card compromised , please have your card blocked by calling our contact number.",1,1
10049,"xxxSNAMEyyy Hi , we are concerned about your tweet . Request you to elaborate your concern through Direct Message to us .","xxxSNAMEyyy Hi , we are concerned about your tweet . Request you to elaborate your concern through Direct Message to us .",1,1
10050,"xxxSNAMEyyy Hi Adnan , I have noted your query . I will check the details on this and update you . -Anay","xxxSNAMEyyy Hi Adnan , I have noted your query . I will check the details on this and update you . -Anay",1,1
10051,xxxSNAMEyyy Your customer service is so worthless and idiotic it 's amazing your stock is n't tanking ; I will be sharing a detailed testimonial,xxxSNAMEyyy Your customer service is so worthless and idiotic it is amazing your stock is not tanking . I will be sharing a detailed testimonial,0,1
10052,BofA partners with Habitat to help families like the Jordans advance xxxHASHTAGyyy xxxURLyyy,BofA partners with Habitat to help families like the Jordans . Advance xxxHASHTAGyyy xxxURLyyy,2,1
10053,"xxxSNAMEyyy Dear Bikash Kumar , for further clarification , please refer to the schedule of charges by clicking on ( 1/2","xxxSNAMEyyy Dear Bikash Kumar , for further clarification , please refer to the schedule of charges by clicking on the link.",1,1
10054,xxxSNAMEyyy still cant verify account ? Any help please ?,xxxSNAMEyyy still cant verify account ? Any help please ?,1,1
10055,Dear xxxSNAMEyyy can you please share the GO/Directive which states xxxHASHTAGyyy to be mandatory linked with bank a xxxURLyyy,Dear xxxSNAMEyyy can you please share the GO or Directive which states xxxHASHTAGyyy to be mandatory linked with bank a xxxURLyyy,1,1
10056,xxxSNAMEyyy Please allow us some time and our Social Care Team will follow up with you . ^mm xxxURLyyy,xxxSNAMEyyy Please allow us some time and our Social Care Team will follow up with you . xxxURLyyy,1,1
10057,"xxxSNAMEyyy Hi Steve , Thanks for reaching out . Please let us know how we can help by sending us more details . ^ra xxxURLyyy","xxxSNAMEyyy Hi Steve , Thanks for reaching out . Please let us know how we can help by sending us more details . xxxURLyyy",1,1
10058,xxxSNAMEyyy We will take up the matter with the concerned branch . ( 2/2,xxxSNAMEyyy We will take up the matter with the concerned branch . ,1,1
10059,xxxSNAMEyyy subject of your mail so it 'll help me track his/her e-mail . -Bejoy ( 3/3,xxxSNAMEyyy subject of your mail so it will help me track his/her e-mail . -Bejoy ,1,1
10060,"xxxSNAMEyyy I went to your Vikaspuri , New Delhi branch with a print-out of the said mail . Staff told , mails are xxxURLyyy","xxxSNAMEyyy I went to your Vikaspuri , New Delhi branch with a print out of the said mail . Staff told that mails are not valid.xxxURLyyy",0,1
10061,xxxSNAMEyyy Have you solve the matter,xxxSNAMEyyy Have you solved the matter ?,1,1
10062,xxxSNAMEyyy xxxSNAMEyyy Do n't even have the courtesy to reply ?,xxxSNAMEyyy xxxSNAMEyyy Do not even have the courtesy to reply ?,0,1
10063,"xxxSNAMEyyy xxxSNAMEyyy xxxSNAMEyyy xxxSNAMEyyy xxxSNAMEyyy Explaination for Aadhaar harassment , please",xxxSNAMEyyy xxxSNAMEyyy xxxSNAMEyyy xxxSNAMEyyy xxxSNAMEyyy What is the Explaination for Aadhaar harassment ?,0,1
10064,xxxSNAMEyyy Actually my question was to xxxSNAMEyyy weather banks are having any fine or liability when ATM is not wor xxxURLyyy,xxxSNAMEyyy Actually my question was to xxxSNAMEyyy whether banks are having any fine or liability when ATM is not working ? xxxURLyyy,1,1
10065,xxxSNAMEyyy it 'll help us track your e-mail.-Anay ( 3/3,xxxSNAMEyyy it will help us track your Electronic Mail.- Anay ,1,1
10066,xxxSNAMEyyy Bank will accept the e-associate cheques for the purposes mentioned by you however the validity has been ( 1/2,xxxSNAMEyyy Bank will accept the e-associate cheques for the purposes mentioned by you however the validity has been expired .,1,1
10067,"xxxSNAMEyyy Dear Samit , we regret the inconvenience caused . Please forward us the details of the transaction , a/c no . ( 1/2","xxxSNAMEyyy Dear Samit , we regret the inconvenience caused . Please forward us the details of the transaction and the Account Number. ",1,1
10068,"xxxSNAMEyyy Hi Vinit , we 'll just need a few details to help you . You can safely share them over email to ( 1/3","xxxSNAMEyyy Hi Vinit , we will just need a few details to help you . You can safely share them over email to the following .",1,1
10069,xxxSNAMEyyy is this right news ? Paypal is lunching officially on 19 october in Bangladesh ? plz tell us truth,xxxSNAMEyyy is this right news ? Paypal is launching officially on 19/10/2017 in Bangladesh ? Please tell us the truth.,2,1
10070,"xxxSNAMEyyy sbi.quickxxxSNAMEyyy.co.in with the details of your concern , mobile no , error/screenshot , account no , we will take up the matter ( 2/3","xxxSNAMEyyy sbi.quickxxxSNAMEyyy.co.in with the details of your concern , mobile number , error or screenshot , account number , we will take up the matter .",1,1
10071,"xxxSNAMEyyy xxxSNAMEyyy Calls to 8000 368 7155 not answered , left on hold . No email address on website . NEED TO CONTACT URGENTLY .","xxxSNAMEyyy xxxSNAMEyyy Calls to 8000 368 7155 not answered , left on hold . No email address on website . NEED TO CONTACT URGENTLY .",0,1
10072,xxxSNAMEyyy Its B,,1,-1
10073,"xxxSNAMEyyy Apologies for the delay Lewis , we have responded to your DM . ^SK","xxxSNAMEyyy Apologies for the delay Lewis , we have responded to your Direct Message . ",1,1
10074,xxxSNAMEyyy account fraud pls help,xxxSNAMEyyy account fraud . Please help.,0,1
10075,xxxSNAMEyyy What is Dm,xxxSNAMEyyy What is Direct Message ?,1,1
10076,"xxxSNAMEyyy Thanks for confirming , were working with them to solve the problem .","xxxSNAMEyyy Thanks for confirming , we are working with them to solve the problem .",1,1
10077,"xxxSNAMEyyy allows me to transfer securities to a broker online . So does Kotak , but xxxSNAMEyyy does not care to provide that . Why ? ?","xxxSNAMEyyy allows me to transfer securities to a broker online . So does Kotak , but xxxSNAMEyyy does not care to provide that . Why ? ",0,1
10078,xxxSNAMEyyy I hope you will respond to my private message,xxxSNAMEyyy I hope you will respond to my private message .,1,1
10079,"xxxSNAMEyyy Hi , we regret the inconvenience caused . Please DM us your contact details . Our official will contact you .","xxxSNAMEyyy Hi , we regret the inconvenience caused . Please Direct Message us your contact details . Our official will contact you .",1,1
10080,xxxSNAMEyyy Pls try after some time ye msg aa raha hai xxxURLyyy,xxxSNAMEyyy 'Pls try after some time' ye msg aa raha hai xxxURLyyy,0,1
10081,xxxSNAMEyyy maybe I 'll just issue a charge back myself since that 's all it takes,xxxSNAMEyyy maybe I will just issue a charge back to myself. Since that is all it takes.,1,1
10082,xxxSNAMEyyy Please elaborate your concern to enable us assist you better .,xxxSNAMEyyy Please elaborate your concern to enable us assist you better .,1,1
10083,xxxSNAMEyyy number for your query is 433-700-870 . -Manoj ( 3/3,xxxSNAMEyyy number for your query is 433-700-870 . -Manoj ,1,1
10084,"xxxSNAMEyyy I got a response saying there is email intimation about revision charges , which I never got in emails .","xxxSNAMEyyy I got a response saying there is email intimation about revision charges , which I never got in emails .",0,1
10085,xxxSNAMEyyy TW1610171159 in the subject of your mail so it 'll help us track your e-mail . -Anay ( 3/3,xxxSNAMEyyy TW1610171159 in the subject of your mail so it will help us track your e-mail . -Anay ,1,1
10086,"xxxSNAMEyyy Hi , we will have our official contact you to assist .","xxxSNAMEyyy Hi , we will have our official contact you to assist .",1,1
10087,xxxSNAMEyyy DM MY BAD,xxxSNAMEyyy DIRECT MESSAGE . MY BAD.,1,1
10088,xxxSNAMEyyy Thanks,xxxSNAMEyyy Thanks.,1,1
10089,"xxxSNAMEyyy hey , is it possible to send a DM regarding a issue i 've had for around 2-3 months about my account ? xxxEMOyyy","xxxSNAMEyyy hey , is it possible to send a Direct Message regarding a issue I have had for around 2 to 3 months about my account ? (unknown_expression)",1,1
10090,xxxSNAMEyyy xxxSNAMEyyy xxxSNAMEyyy didnt receive cashback of 1500 on the order of moto g5pls on aug 9.cn u pl confirm whn do I get,"xxxSNAMEyyy xxxSNAMEyyy xxxSNAMEyyy , I did not receive cashback of 1500 on the order of moto g5 plus on 09/08/2017 . Can you please confirm when do I get it ?",0,1
10091,xxxSNAMEyyy twitterxxxSNAMEyyy.co.in . Please mention your case id [ 2614741 ] in the subject line . We will look into the matter . ( 2/2,xxxSNAMEyyy twitterxxxSNAMEyyy.co.in . Please mention your case Identification number [ 2614741 ] in the subject line . We will look into the matter . ,1,1
10092,Cash deducted from account . Noncash dispensed . What do I do ? xxxSNAMEyyy xxxSNAMEyyy xxxURLyyy,Cash deducted from account . Non cash dispensed . What do I do ? xxxSNAMEyyy xxxSNAMEyyy xxxURLyyy,0,1
10093,xxxSNAMEyyy Hey there ! Sorry to hear that you 've been having these issues . We 're happy to clarify . We 've responded to your DM ! ^CRG,xxxSNAMEyyy Hey there ! Sorry to hear that you 've been having these issues . We are happy to clarify . We have responded to your Direct Message ! ,1,1
10094,"xxxSNAMEyyy Hi Saroj , We request you to visit the below link to know the procedure to increase the credit limit assigned to your 1/n","xxxSNAMEyyy Hi Saroj , We request you to visit the below link to know the procedure to increase the credit limit assigned to your card .",1,1
10095,xxxSNAMEyyy accounts category . Our team will look in the matter . ( 3/3,xxxSNAMEyyy accounts category . Our team will look in the matter . ,1,1
10096,xxxSNAMEyyy Im so confused pls help,xxxSNAMEyyy I am so confused. Please help .,1,1
10097,xxxSNAMEyyy I 'm unable to complete a transaction on eBay via PayPal . Everytime I log in it takes me back to the PayPal log in page .,xxxSNAMEyyy I am unable to complete a transaction on eBay via PayPal . Everytime I log in it takes me back to the PayPal log in page .,0,1
10098,"xxxSNAMEyyy relevant details of the txn . ( txn . dt. , amount , txn . reference no. , mode of txn. ) . We will be happy to assist you . ( 2/2","xxxSNAMEyyy relevant details of the transaction. ( transaction details , amount , transaction . reference number. , mode of transaction . ) . We will be happy to assist you . ",1,1
10099,xxxSNAMEyyy kindly provide the Solution ASAP,xxxSNAMEyyy kindly provide the Solution as soon as possible .,1,1
10100,xxxSNAMEyyy it is already linked then you can ignore the message . ( 2/2,"xxxSNAMEyyy it is already linked, then you can ignore the message . ",1,1
10101,xxxSNAMEyyy Why ca n't you guys just simply understand ? I have raised an issue a week back n given all details o xxxURLyyy,xxxSNAMEyyy Why can you guys just simply not understand ? I have raised an issue a week back and given all details to xxxURLyyy,0,1
10102,xxxSNAMEyyy hey Mumbai police this xxxSNAMEyyy xxxSNAMEyyy is looting its customers by levying inflated dollar-rupee conversion rate,xxxSNAMEyyy hey Mumbai police this xxxSNAMEyyy xxxSNAMEyyy is looting its customers by levying inflated dollar-rupee conversion rate,0,1
10103,xxxSNAMEyyy Please use link below to send your full name/ZIP/phone/account type and well follow up with you . ^mm xxxURLyyy,xxxSNAMEyyy Please use link below to send your full name or ZIP or phone or account type and we will follow up with you .xxxURLyyy,1,1
10104,"xxxSNAMEyyy Click the Learn More link in the Account Features section for debit card , then Enroll Now . Hope this helps . ^js","xxxSNAMEyyy Click the Learn More link in the Account Features section for debit card , then Enroll Now . Hope this helps . ",1,1
10105,xxxSNAMEyyy with the department concerned . ( 3/3,xxxSNAMEyyy with the department concerned . ,1,1
10106,xxxSNAMEyyy on talktousxxxSNAMEyyy.com . Mention this Ref No . TW1310170943 in the subject of your mail so it 'll help me track your ( 2/3,xxxSNAMEyyy on talktousxxxSNAMEyyy.com . Mention this Reference Number ref in the subject of your mail so it will help me track your order . ,1,1
10107,xxxSNAMEyyy there dirty work . I have made a complaint to xxxSNAMEyyy about this matter as of today and hope tha xxxURLyyy,xxxSNAMEyyy there dirty work . I have made a complaint to xxxSNAMEyyy about this matter as of today and hope that it will be resolved xxxURLyyy,0,1
10108,xxxSNAMEyyy account or financial information from the customers . Please do not reveal your financial details or passwords to anyone . We 2/4,xxxSNAMEyyy account or financial information from the customers . Please do not reveal your financial details or passwords to anyone . ,1,1
10109,.xxxSNAMEyyy you 're holding my money hostage for two weeks so you can earn more profits ... You know you can release xxxHASHTAGyyy xxxHASHTAGyyy,.xxxSNAMEyyy you are holding my money hostage for two weeks so you can earn more profits . You know you can release xxxHASHTAGyyy xxxHASHTAGyyy,0,1
10110,xxxSNAMEyyy Any updates ? ? ?,xxxSNAMEyyy Any updates ? ,1,1
10111,"xxxSNAMEyyy Hello , I was wondering if I create an account as an individual buyer is there a credit check that is done ?","xxxSNAMEyyy Hello , I was wondering if I could create an account as an individual buyer. Is there a credit check that is done ?",1,1
10112,"xxxSNAMEyyy Hi , Please let me know the email Id from where you have marked us an email . Will check and get back to you . Bejoy","xxxSNAMEyyy Hi , Please let me know the email ID from where you have marked us an email . Will check and get back to you . - Bejoy",1,1
10113,India may delay implementation of Basel III norms : xxxSNAMEyyy report xxxURLyyy xxxURLyyy,India may delay implementation of Basel III norms : xxxSNAMEyyy report xxxURLyyy xxxURLyyy,0,1
10114,xxxSNAMEyyy look into the matter . ( 2/2,xxxSNAMEyyy look into the matter . ,1,1
10115,xxxSNAMEyyy MAB requirements . Please visit your branch for further assistance . ( 4/4,xxxSNAMEyyy MAB requirements . Please visit your branch for further assistance . ,1,1
10116,"xxxSNAMEyyy xxxSNAMEyyy bank lost my money , they are not following up or returning money","xxxSNAMEyyy xxxSNAMEyyy bank lost my money , they are not following up or returning money.",0,1
10117,"xxxSNAMEyyy Hi Ankesh , we 're sorry to hear that . Please share your Account No./Card No . with registered contact info , charges ( 1/3","xxxSNAMEyyy Hi Ankesh , we are sorry to hear that . Please share your Account Number or Card Number with registered contact information . Charges applicable.",1,1
10118,xxxSNAMEyyy Y dont u do basic diligence like verifying emails why the hell is my email getting misused ? This should stop right away .,xxxSNAMEyyy Why do you not do basic diligence like verifying emails and why the hell is my email getting misused ? This should stop right away .,0,1
10119,"xxxSNAMEyyy xxxSNAMEyyy Pardon me , but since you are xxxSNAMEyyy , I was hoping you could Help me to understand what Bofa is","xxxSNAMEyyy xxxSNAMEyyy Pardon me , but since you are xxxSNAMEyyy , I was hoping you could Help me to understand what Bofa is.",1,1
10120,"xxxSNAMEyyy Hi , we 're sorry you had this experience and we want to make this right . Please share your concerns with us at : ( 1/2","xxxSNAMEyyy Hi , we are sorry you had this experience and we want to make this right . Please share your concerns with us at (negative_expression).",1,1
10121,xxxSNAMEyyy xxxSNAMEyyy xxxSNAMEyyy yr thoughts on this . Cust harrassed by mails n msgs . Matter subjudice in courts . Why force ?,xxxSNAMEyyy xxxSNAMEyyy xxxSNAMEyyy your thoughts on this . Customer harassed by mails and messages . Matter subjunctive in courts . Why force ?,0,1
10122,"xxxSNAMEyyy Hi , we would like to get in touch with you and understand your query better . Please DM us your contact details .","xxxSNAMEyyy Hi , we would like to get in touch with you and understand your query better . Please Direct Message us your contact details .",1,1
10123,"xxxSNAMEyyy Hi , thank you for your interest in ICICI Bank Home Loans . Please SMS HOME to 5676766 and our officer will get in touch 1/3","xxxSNAMEyyy Hi , thank you for your interest in ICICI Bank Home Loans . Please SMS HOME to 5676766 and our officer will get in touch .",1,1
10124,"xxxSNAMEyyy Hi Dinesh , please visit the link - xxxURLyyy for any ( 1/2","xxxSNAMEyyy Hi Dinesh , please visit the link - xxxURLyyy for any further details. ",1,1
10125,"xxxSNAMEyyy register/update your mobile number at the ATM , visit : xxxURLyyy . ( 2/2","xxxSNAMEyyy register or update your mobile number at the ATM , visit : xxxURLyyy . ",1,1
10126,"xxxSNAMEyyy Security for our customers is a top priority , and our objective is to protect our customers and the bank . ^am","xxxSNAMEyyy Security for our customers is a top priority , and our objective is to protect our customers and the bank . ",2,1
10127,"xxxSNAMEyyy Hi , we will have our official get in touch with you .","xxxSNAMEyyy Hi , we will have our official get in touch with you .",1,1
10128,xxxSNAMEyyy Please verify your a/c statement / passbook update for narration / details of the transaction . In case ( 1/2,xxxSNAMEyyy Please verify your account statement and passbook update for narration or details of the transaction . ,1,1
10129,"Dear xxxSNAMEyyy show some respect to customer , do n't act like PM xxxURLyyy","Dear xxxSNAMEyyy show some respect to customer , do not act like PM xxxURLyyy",0,1
10130,"xxxSNAMEyyy Hi Jebastin , we 'll look into that for you . Pls write to talktousxxxSNAMEyyy.com with your concern , A/ xxxURLyyy","xxxSNAMEyyy Hi Jebastin , we will look into that for you . Please write to talktousxxxSNAMEyyy.com with your concern xxxURLyyy.",1,1
10131,xxxSNAMEyyy For more info regarding when your funds will be available after deposit please visit : xxxURLyyy . ^jv,xxxSNAMEyyy For more info regarding when your funds will be available after deposit please visit : xxxURLyyy . ,1,1
10132,"xxxSNAMEyyy Hi there Sean , We apologize for the delay in getting back to you . If you need any help feel free to DM us . ^ZT","xxxSNAMEyyy Hi there Sean , We apologize for the delay in getting back to you . If you need any help feel free to Direct Message us . ",1,1
10133,xxxSNAMEyyy Please write to us at twitterxxxSNAMEyyy.co.in the relevant details of the issue you are facing and your contact ( 1/2,xxxSNAMEyyy Please write to us at twitterxxxSNAMEyyy.co.in the relevant details of the issue you are facing and your contact details.,1,1
10134,"xxxSNAMEyyy Hi Sital , we understand the inconvenience . Please click on xxxURLyyy to DM the complete ( 1/3","xxxSNAMEyyy Hi Sital , we understand the inconvenience . Please click on xxxURLyyy to Direct Message the complete details.",1,1
10135,xxxSNAMEyyy I shall try tomorrow .,,1,-1
10136,"xxxSNAMEyyy talktousxxxSNAMEyyy.com . Please share your complete issue , Card details amp ; registered contact details . Mention this Ref ( 2/3","xxxSNAMEyyy talktousxxxSNAMEyyy.com . Please share your complete issue , Card details and registered contact details . Mention this Reference number.",1,1
10137,xxxSNAMEyyy Can I setup a reoccurring payment from PayPal ?,xxxSNAMEyyy Can I setup a reoccurring payment from PayPal ?,1,1
10138,"xxxSNAMEyyy my debit card is not working in any of the ICICI bank ATMs , properly works on other ATMs . Please assist me with a solution","xxxSNAMEyyy my debit card is not working in any of the ICICI bank ATMs , properly works on other ATMs . Please assist me with a solution.",0,1
10139,xxxSNAMEyyy one of the worst service given by any bank.. charging bouncing charge two times and looting the customer . xxxHASHTAGyyy,xxxSNAMEyyy one of the worst service given by any bank. Charging bouncing charge two times and looting the customer . xxxHASHTAGyyy,0,1
10140,xxxSNAMEyyy get in touch with your branch with your scheme/proposal . We will be happy to help you . ( 3/3,xxxSNAMEyyy get in touch with your branch with your scheme or proposal . We will be happy to help you . ,2,1
10141,xxxSNAMEyyy Your complaint with ticket no.3374823885 is under process with the team concerned . Updates will be shared on ( 1/2,xxxSNAMEyyy Your complaint with ticket number  3374823885 is under process with the team concerned . Updates will be shared on following link.,1,1
10142,How shit is PayPal 's customer service xxxSNAMEyyy,How shit is PayPal 's customer service xxxSNAMEyyy,0,1
10143,"xxxSNAMEyyy Hi Monty , Let me take it up with the concerned team and get back to you . Request your patience in the ( 1/2","xxxSNAMEyyy Hi Monty , Let me take it up with the concerned team and get back to you . Request your patience in the process.",1,1
10144,xxxSNAMEyyy is being reviewed as appropriate . You may look forward to receive a response to your e-mail id in 3 working days . We ( 2/3,xxxSNAMEyyy is being reviewed as appropriate . You may look forward to receive a response to your e-mail id in 3 working days .,1,1
10145,xxxSNAMEyyy Pls click below send your name/ZIP/phone # /acct type so we follow up with you . ^vt xxxURLyyy,xxxSNAMEyyy Please click below send your name/ZIP/phone # /account type so we follow up with you .  xxxURLyyy,1,1
10146,xxxSNAMEyyy Thank you,xxxSNAMEyyy Thank you,1,1
10147,xxxSNAMEyyy You can send us a message by clicking the link below . ^cl xxxURLyyy,xxxSNAMEyyy You can send us a message by clicking the link below . xxxURLyyy,1,1
10148,xxxSNAMEyyy Banking// Branch Related category . We will look into the matter . ( 2/2,xxxSNAMEyyy Banking or Branch Related category . We will look into the matter . ,1,1
10149,"xxxSNAMEyyy Hi , we request you to contact our customer care : xxxURLyyy for assistance .","xxxSNAMEyyy Hi , we request you to contact our customer care : xxxURLyyy for assistance .",1,1
10150,xxxSNAMEyyy xxxSNAMEyyy xxxSNAMEyyy xxxSNAMEyyy In tamilnadu why you people remove Tamil . How can people use ? ? ?,xxxSNAMEyyy xxxSNAMEyyy xxxSNAMEyyy xxxSNAMEyyy In Tamil Nadu why you people remove Tamil . How can people use ? ,0,1
10151,"xxxSNAMEyyy xxxSNAMEyyy xxxSNAMEyyy xxxSNAMEyyy I filled my compliant with cyber crime department , SBI cards even with the mobile wallet ./6","xxxSNAMEyyy xxxSNAMEyyy xxxSNAMEyyy xxxSNAMEyyy I filed my compliant with cyber crime department , SBI cards even with the mobile wallet .",0,1
10152,SBI wishes for all our customers ' dreams and aspirations become reality this Diwali . Happy Diwali ! xxxURLyyy,SBI wishes for all our customers ' dreams and aspirations become reality this Diwali . Happy Diwali ! xxxURLyyy,2,1
10153,"xxxSNAMEyyy Hi Satyam , In case you have approached any of our communication channels , kindly help us with the ( 1/2","xxxSNAMEyyy Hi Satyam , In case you have approached any of our communication channels , kindly help us with the details.",1,1
10154,"xxxSNAMEyyy Dear , thanks for your quick response . I have shared my card details and my concern with the compla xxxURLyyy","xxxSNAMEyyy Dear , thanks for your quick response . I have shared my card details and my concern with the compliant xxxURLyyy",1,1
10155,"xxxSNAMEyyy Dear Sid , you may request for ATM Card online . Visit xxxURLyyy for a video tutorial .","xxxSNAMEyyy Dear Sid , you may request for ATM Card online . Visit xxxURLyyy for a video tutorial .",1,1
10156,xxxSNAMEyyy There actually is a place you can send those ! You can forward those over to spoofxxxSNAMEyyy.com for us to have a look at it . ^DP,xxxSNAMEyyy There actually is a place you can send those ! You can forward those over to spoofxxxSNAMEyyy.com for us to have a look at it . ,2,1
10157,xxxSNAMEyyy Hi there I have recieved a payment through ebay into my paypal account . It says completed but I cant see it in my funds ?,xxxSNAMEyyy Hi there I have recieved a payment through ebay into my paypal account . It says completed but I cannot see it in my funds ?,0,1
10158,xxxSNAMEyyy i want to discontinue ur credit card . I applied for online cancellation but its not happenin . Kindl xxxURLyyy,xxxSNAMEyyy I want to discontinue your credit card . I applied for online cancellation but its not happening . Kindly check xxxURLyyy,0,1
